mineral name,chemistry,Ca,Fe,Mg,Fe_mol_frac,Ca_mol_frac,a,b,c,beta,V,space group,citation,notes
Hedenbergite,CaFe_0.6707_Mg_0.3293_Si_2_O_6_,1,0.6707,0.3293,0.6707,0.5,9.821,8.994,5.247,105.13,447.39,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic
,,1,0.7,0.3,0.7,0.5,9.814,8.996,5.253,105.33,447.29,C2/c,The Canadian Mineralogist 28 (1990) 93-109,D7 (synthetic)
Hedenbergite,(Ca1.00Fe0.80Mg0.20)Si2O6,1,0.8,0.2,0.8,0.5,9.832,9.002,5.251,105.02,448.6,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 80
Hedenbergite,(Ca1.00Fe0.75Mg0.25)Si2O6,1,0.75,0.25,0.75,0.5,9.821,9.002,5.251,104.98,448.4,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 75
Hedenbergite,(CaFe0.85Mg0.15)Si2O6,1,0.85,0.15,0.85,0.5,9.834,9.01,5.247,104.96,449.15,C2/c,American Mineralogist 54 (1969) 238-245,Synthetic #WD 238
Hedenbergite,CaFe_0.7774_Mg_0.2226_Si_2_O_6_,1,0.7774,0.2226,0.7774,0.5,9.826,9.012,5.251,105.01,449.2,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic
Hedenbergite,(Ca1.00Fe0.85Mg0.15)Si2O6,1,0.85,0.15,0.85,0.5,9.836,9.014,5.248,104.92,449.6,C2/c,American Mineralogist 58 (1973) 50-59,Synthetic 85
Hedenbergite,CaFe_0.8871_Mg_0.1129_Si_2_O_6_,1,0.8871,0.1129,0.8871,0.5,9.832,9.018,5.247,104.88,449.61,C2/c,Mineralogical Magazine 37 (1969) 216-229,Synthetic
,,1,1,0,1,0.5,9.850428571,9.025571429,5.238214286,104.7371429,450.3642857,C2/c,multi,
,,1.01,0.99,0,1,0.505,9.8672,9.0469,5.2584,104.794,453.84,C2/c,Phys Chem Minerals 32 (2005) 552-563,Synthetic hd10hk1a
